project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
mongoose,3.8.8,22 Feb 2014,34470,7835,12.9%,10.1%,4933,65.8,4.9,5097,355,7,12,4764,142,8,4711,23250,A,139d,6.5%
brackets,sprint-40,05 Jun 2014,244355,78148,19.1%,50.8%,44329,124.4,8.4,57867,4705,0,3,38514,5033,148,25018,136585,A,877d,5.7%
brackets,sprint-31,18 Sep 2013,219938,73852,19.2%,56.2%,40645,130.9,8.7,52385,4631,0,3,35039,4813,132,22611,124400,A,856d,6.2%
brackets,sprint-36,05 Feb 2014,233273,76133,19.2%,52.9%,42990,125.6,8.5,55577,4686,1,3,37308,4909,142,23763,130505,A,867d,5.9%
brackets,sprint-33,29 Oct 2013,224204,74746,19.3%,55.2%,41240,128.7,8.6,53524,4673,0,3,35569,4873,136,23109,126684,A,860d,6.1%
mongoose,2.3.2,11 Oct 2011,13692,3200,11.5%,6.7%,1339,46.4,3.1,1775,81,4,9,1247,56,12,1988,8487,A,45d,5.3%
mongoose,1.6.0,07 Jul 2011,11101,2788,12.7%,5.5%,1294,42.2,2.8,1622,54,2,13,1212,43,14,1724,6898,A,38d,5.6%
mongoose,3.8.19,09 Nov 2014,35606,8085,12.6%,9.8%,4911,67.4,4.9,5135,359,10,12,4736,145,9,4872,23948,A,140d,6.3%
mongoose,2.0.1,25 Aug 2011,12779,3031,11.5%,6.8%,1211,45.2,3.0,1668,79,3,9,1122,53,11,1889,7980,A,39d,5.0%
q,v0.4.2,03 Jun 2011,1796,780,19.5%,27.8%,508,35.5,3.6,435,28,0,13,480,8,4,445,1387,B,11d,10.4%
brackets,sprint-25,24 May 2013,205523,70733,19.1%,60.8%,37660,139.8,8.9,48471,4703,0,3,32384,4537,112,20920,117172,A,827d,6.4%
brackets,sprint-21,02 Mar 2013,195227,68544,19.0%,64.5%,34831,152.0,9.2,45799,4727,0,3,29843,4326,90,19441,111501,A,807d,6.6%
npm,v1.1.3,01 Mar 2012,9225,4325,9.9%,0.0%,6809,46.5,7.0,1014,0,0,56,6719,28,10,1179,5878,C,149d,25.9%
brackets,release-1.2-prerelease1,11 Feb 2015,266801,82848,19.3%,47.2%,47117,116.2,8.1,63923,4800,2,3,40985,5248,179,27845,148274,A,884d,5.3%
less.js,v2.1.0,23 Nov 2014,17823,9081,10.2%,74.3%,4516,64.0,9.7,2028,158,3,0,4179,308,18,2524,13080,B,132d,11.9%
underscore,1.5.0,06 Jul 2013,2464,1277,10.6%,0.0%,988,127.7,4.7,292,0,0,0,967,21,2,628,2538,B,26d,17.0%
mongoose,2.3.12,09 Nov 2011,14772,3405,11.1%,6.8%,1572,49.3,3.1,1847,87,3,8,1478,61,12,2122,9222,A,57d,6.2%
npm,v0.2.8-1,15 Nov 2010,5336,2303,7.9%,0.0%,3939,32.0,6.0,460,0,0,68,3836,15,6,731,3354,C,84d,25.3%
mongoose,3.8.23,06 Feb 2015,35922,8156,12.6%,9.8%,4908,68.0,4.9,5158,357,11,12,4732,145,9,4917,24132,A,140d,6.3%
bower,_pr1129_author_head,20 Feb 2014,12325,2977,8.8%,21.3%,238,38.2,3.8,1192,222,1,12,152,41,13,1908,7142,A,4d 5h,0.6%
