project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
mongoose,3.6.0rc0,03 Feb 2013,26284,5657,12.8%,8.0%,3658,61.5,4.5,3875,216,4,6,3526,116,7,3539,17967,A,108d,6.6%
ember.js,v0.9.1,14 Dec 2011,26128,8020,20.4%,4.8%,3939,33.3,4.3,6678,109,0,0,3507,407,60,3332,16614,A,84d,5.2%
coffeescript,1.6.3,02 Jun 2013,7330,4969,0.9%,0.0%,3580,84.2,17.1,64,0,0,0,3533,47,4,1173,6611,B,79d,17.3%
q,v0.8.2,18 Jan 2012,2098,795,19.8%,24.0%,514,34.6,3.3,519,28,0,13,484,9,4,512,1483,A,12d,9.3%
mongoose,1.0.8,09 Feb 2011,6660,1753,15.2%,4.7%,901,28.7,2.9,1198,30,1,9,860,24,14,1057,4095,A,22d,5.5%
npm,v1.0.90,02 Oct 2011,8350,3974,9.9%,0.0%,6330,43.2,6.9,917,0,0,57,6239,27,10,1084,5405,C,137d,26.4%
npm,v1.2.5,05 Feb 2013,7278,3291,9.1%,0.0%,5309,38.7,6.8,731,0,0,22,5262,22,20,941,4700,C,117d,25.8%
ember.js,v0.9.5,17 Feb 2012,28305,8454,19.0%,5.3%,3938,31.3,4.1,6652,135,1,0,3508,405,59,3693,17867,A,88d,5.0%
mongoose,3.5.12,25 Apr 2013,25301,5487,12.7%,7.4%,3523,59.6,4.5,3687,199,4,6,3392,116,7,3407,17380,A,105d,6.7%
source-map,0.1.29,21 Aug 2013,2658,523,15.6%,1.1%,203,20.1,4.8,492,2,2,1,195,5,6,222,1413,A,9d 4h,5.7%
npm,v0.1.11,19 May 2010,2473,1053,10.4%,0.0%,1853,27.7,6.3,287,0,0,36,1800,7,4,316,1576,C,51d,33.5%
mongoose,3.8.18,22 Oct 2014,35565,8079,12.6%,9.8%,4911,67.3,4.9,5134,359,10,12,4736,145,9,4865,23917,A,140d,6.3%
mocha,0.10.1,17 Jan 2012,4162,3965,20.4%,72.8%,3102,59.2,7.7,1066,69,0,0,3014,82,10,1297,4730,C,79d,30.4%
request,v2.48.0,12 Nov 2014,5730,1301,4.0%,5.5%,2983,26.6,2.8,241,18,0,0,2908,22,4,690,3151,B,67d,18.7%
source-map,0.1.30,30 Sep 2013,2770,536,15.4%,1.0%,209,20.6,4.9,505,2,2,1,201,5,6,220,1482,A,9d 7h,5.7%
mongoose,2.3.11,08 Nov 2011,14735,3397,11.1%,6.8%,1571,49.2,3.1,1846,87,4,8,1477,60,12,2118,9195,A,57d,6.2%
mongoose,2.3.10,05 Nov 2011,14660,3382,11.2%,6.8%,1558,49.0,3.1,1842,87,4,8,1464,60,12,2105,9147,A,56d,6.2%
mongoose,3.8.11,22 May 2014,34680,7895,12.8%,10.1%,4952,66.3,4.9,5098,357,7,12,4783,142,8,4749,23386,A,140d,6.5%
ember.js,v1.6.0-beta.1,01 Apr 2014,54268,12532,22.6%,5.3%,2671,27.0,2.3,15870,274,0,0,2237,349,91,8060,32834,A,78d,2.3%
mongoose,1.0.10,11 Feb 2011,6674,1755,15.2%,4.7%,901,28.8,2.9,1198,30,1,9,860,24,14,1058,4102,A,22d,5.5%
mongoose,2.9.8,07 Feb 2013,18945,4173,9.8%,5.7%,2438,58.0,4.3,2052,101,4,1,2331,87,6,2639,12593,A,75d,6.4%
node-mysql,v2.5.0,07 Sep 2014,9786,1868,3.2%,5.3%,563,10.3,2.7,322,27,27,2,460,70,16,951,7575,A,21d,3.5%
ember.js,v1.5.1,22 Apr 2014,52264,12522,23.0%,5.8%,2517,26.7,2.3,15655,290,0,0,2177,298,91,8092,32891,A,75d,2.3%
bootstrap,v2.3.0,07 Feb 2013,2648,758,9.0%,4.4%,1829,26.1,4.3,262,11,0,0,1782,34,3,391,1599,C,46d,27.8%
coffeescript,1.6.2,13 Mar 2013,7086,4818,0.8%,0.0%,3469,87.6,17.1,60,0,0,0,3424,45,3,1144,6472,B,77d,17.5%
bower,v1.0.0-alpha.5,13 Jul 2013,8282,1970,8.9%,10.7%,151,30.3,3.7,806,95,0,7,91,21,14,1278,4864,A,2d 3h,0.5%
npm,v1.2.18,06 Apr 2013,7360,3317,9.3%,0.0%,5348,39.0,6.8,751,0,0,20,5303,23,20,957,4732,C,117d,25.6%
ember.js,v1.7.1,23 Oct 2014,60943,13947,20.8%,5.7%,2859,28.1,2.4,16002,318,5,0,2355,405,98,8733,36425,A,84d,2.2%
less.js,v1.7.1,08 Jun 2014,159778,104928,11.1%,96.9%,60282,664.1,10.6,19922,10769,15,1,56735,3384,10,27581,123963,B,1624d,16.3%
mongoose,3.5.1,12 Dec 2012,24327,5187,12.9%,6.7%,3320,58.3,4.4,3604,162,4,6,3192,113,7,3232,16664,A,99d,6.6%
npm,v1.1.17,17 Apr 2012,8800,4010,8.9%,0.0%,6324,44.1,6.9,862,0,0,54,6245,21,13,1089,5519,C,138d,25.2%
mongoose,3.0.1,12 Aug 2012,21705,4776,12.8%,7.1%,2865,50.8,4.3,3177,153,4,5,2745,101,10,2982,14506,A,87d,6.5%
npm,v0.2.9,24 Nov 2010,5700,2484,8.0%,0.0%,4233,33.1,6.2,495,0,0,69,4128,16,7,773,3610,C,90d,25.5%
mocha,0.8.2,05 Jan 2012,3927,3878,20.2%,72.4%,3051,61.6,7.8,991,61,0,0,2964,81,10,1237,4563,C,77d,31.7%
npm,v1.0.29,16 Sep 2011,7938,3802,10.1%,0.0%,6052,43.2,6.9,892,0,0,53,5970,23,10,1045,5143,C,131d,26.6%
mongoose,3.8.21,18 Dec 2014,35825,8131,12.6%,9.8%,4911,67.8,4.9,5150,357,11,12,4735,145,9,4907,24076,A,140d,6.3%
npm,v0.1.12,26 May 2010,2513,1071,10.2%,0.0%,1877,28.2,6.4,284,0,0,36,1824,7,4,318,1604,C,52d,33.3%
mocha,1.5.0,21 Sep 2012,6253,1864,20.7%,75.7%,1306,23.3,4.3,1630,79,0,0,1253,49,13,1097,4108,A,37d,9.7%
npm,v1.0.10,06 Jun 2011,7958,3796,9.9%,0.3%,6149,40.8,6.9,875,2,0,57,6059,26,8,1032,5222,C,134d,27.1%
bootstrap,v2.3.2,26 Jul 2013,2673,765,9.0%,4.4%,1846,26.4,4.3,263,11,0,0,1799,34,3,394,1615,C,46d,27.8%
brackets,test-45,10 Oct 2014,259862,81257,19.2%,47.9%,45721,116.6,8.1,61811,4796,0,3,39768,5117,171,27080,144373,A,873d,5.4%
npm,v1.3.5,24 Jul 2013,7640,3346,9.2%,0.0%,5483,39.4,6.5,772,0,0,19,5434,28,20,995,4894,C,121d,25.4%
