shitori,release_date,lines_of_codes,complexity,comment_lines_density_percent,duplicated_lines_density,issues,complexity_file,complexity_function,comment_lines,duplicate_block,blocker_issues,major_issues,minor_issues,directories,functions,statements,sqale,technical_debt_hours,technical_debt_ratio
0.0.1,2010-05-14,554,217,2.1,0.0,322,16.7,3.2,12,0,1,1,316,4,6,100,373,B,121,14.9
0.0.2,2010-07-09,831,336,4.9,3.7,521,24.0,4.2,43,2,0,0,505,15,4,137,543,B,195,16.2
0.0.3,2010-08-28,927,368,4.4,3.3,563,26.3,4.3,43,2,0,0,547,15,4,144,606,B,219,16.3
0.0.4,2010-11-26,938,373,4.3,3.3,564,26.6,4.3,42,2,0,0,548,15,4,145,610,B,219,16.2
0.0.5,2010-12-29,938,372,4.3,3.3,564,26.6,4.3,42,2,0,0,548,15,4,145,610,B,219,16.2
1.0.1,2011-02-02,6175,1653,15.9,3.4,856,27.6,2.9,1164,20,0,9,817,23,14,987,3818,A,504,5.6
1.0.6,2011-02-03,6584,1738,15.2,4.7,886,28.5,2.9,1184,30,1,9,845,24,14,1049,4049,A,528,5.4
1.0.7,2011-02-05,6630,1751,15.3,4.7,897,28.7,2.9,1196,30,1,9,856,24,14,1055,4081,A,528,5.5
1.0.8,2011-02-09,6660,1753,15.2,4.7,901,28.7,2.9,1198,30,1,9,860,24,14,1057,4095,A,528,5.5
1.0.10,2011-02-11,6674,1755,15.2,4.7,901,28.8,2.9,1198,30,1,9,860,24,14,1058,4102,A,528,5.5
1.0.11,2011-02-14,8156,2141,14.9,5.3,1136,34.0,2.8,1424,40,4,17,1062,33,14,1317,5002,A,816,6.7
1.0.13,2011-02-16,8329,2188,14.7,5.2,1148,34.2,2.8,1431,40,3,17,1071,33,14,1337,5108,A,816,6.6
1.0.14,2011-02-17,8349,2186,14.6,5.2,1150,34.2,2.8,1431,40,3,17,1072,34,14,1334,5124,A,816,6.7
1.0.15,2011-02-18,8357,2188,14.6,5.2,1151,34.2,2.8,1431,40,3,17,1073,34,14,1336,5128,A,816,6.7
